,CustomerID,Frequency,Recency,Monetary,rankR,rankF,rankM,groupRFM,Country
1,12346,2,358,2.08,2,1,1,211,United Kingdom
2,12347,182,35,481.21,5,4,3,543,Iceland
3,12348,31,108,178.71,5,1,2,512,Finland
4,12349,73,51,605.1,5,2,4,524,Italy
5,12350,17,343,65.3,2,1,1,211,Norway
6,12352,95,69,2211.1,5,2,5,525,Norway
7,12353,4,237,24.3,3,1,1,311,Bahrain
8,12354,58,265,261.22,3,1,2,312,Spain
9,12355,13,247,54.65,3,1,1,311,Bahrain
10,12356,59,55,188.87,5,2,2,522,Portugal
11,12357,131,66,438.67,5,3,3,533,Switzerland
12,12358,19,34,157.21,5,1,1,511,Austria
13,12359,254,40,2225.11,5,5,5,555,Cyprus
14,12360,129,85,457.91,5,3,3,533,Austria
15,12361,10,320,33.35,2,1,1,211,Belgium
16,12362,274,36,1083.29,5,5,5,555,Belgium
17,12363,23,142,53.17,4,1,1,411,Unspecified
18,12364,85,40,162.37,5,2,1,521,Belgium
19,12365,23,324,698,2,1,5,215,Cyprus
20,12367,11,37,35.2,5,1,1,511,Denmark
21,12370,167,84,467.65,5,3,3,533,Cyprus
22,12370,167,84,467.65,5,3,3,533,Austria
23,12371,63,77,244.08,5,2,2,522,Switzerland
24,12372,52,104,156.07,5,1,1,511,Denmark
25,12373,14,344,64.15,2,1,1,211,Austria
26,12374,33,58,139.25,5,1,1,511,Austria
27,12375,18,35,119.6,5,1,1,511,Finland
28,12377,77,348,209.35,2,2,2,222,Switzerland
29,12378,219,162,656.44,4,4,4,444,Switzerland
30,12379,41,114,116.6,5,1,1,511,Belgium
31,12380,105,54,355.63,5,2,3,523,Belgium
32,12381,91,37,417.04,5,2,3,523,Norway
33,12383,100,217,309.36,3,2,2,322,Belgium
34,12384,30,61,227.27,5,1,2,512,Switzerland
35,12386,10,370,23.91,1,1,1,111,Australia
36,12388,100,48,277.77,5,2,2,522,Australia
37,12390,32,112,127.9,5,1,1,511,Belgium
38,12391,100,54,245.99,5,2,2,522,Cyprus
39,12393,64,105,145.9,5,2,1,521,Australia
40,12394,27,96,91.01,5,1,1,511,Belgium
41,12394,27,96,91.01,5,1,1,511,Denmark
42,12395,159,48,629.59,5,3,4,534,Belgium
43,12397,126,68,437,5,3,3,533,Belgium
44,12398,85,78,169.38,5,2,2,522,Switzerland
45,12399,59,152,124.76,4,2,1,421,Belgium
46,12401,5,336,48.4,2,1,1,211,Belgium
47,12402,11,356,36.2,2,1,1,211,Belgium
48,12403,6,82,53.4,5,1,1,511,Denmark
49,12405,54,181,191.39,4,1,2,412,Finland
50,12406,108,55,305.99,5,2,2,522,Denmark
51,12407,77,82,251.59,5,2,2,522,Belgium
52,12408,113,65,353.48,5,2,3,523,Belgium
53,12409,114,111,402.04,5,2,3,523,Switzerland
54,12410,28,334,176.97,2,1,2,212,Switzerland
55,12412,61,107,165.54,5,2,1,521,Denmark
